;Picture NO.;;Respondent Base;Respondent Age;Type;Group;Label;Duration (ms);Parent Label;Parent Duration;Duration (%);Valid data;Size (px2);Size (cm2);Size (%);Respondent count (gaze dwells);Respondent ratio (gaze dwells);Dwell count;Revisit count (gaze dwells);Hit sequence;Hit time (AOI);Hit time (Parent);Dwell time (gaze. ms);Dwell time (gaze. %);First dwell duration;Last dwell duration;Skip count;Respondent count (fixation dwells);Respondent ratio (fixation dwells);Dwells with fixations;Revisit count (fixation dwells);Fixation count;TTFF sequence;TTFF (AOI);TTFF (Parent);TTFF (max.);Dwell time (fixation. ms);Dwell time (fixation. %);Duration of average fixation;First fixation duration;Last fixation duration;Dispersion of average fixation;Respondent count (saccades);Respondent ratio (saccades);Dwells with saccades;Saccade count;Entry saccade onset (AOI);Entry saccade onset (Parent);Duration of average saccade;Amplitude of average saccade;Peak velocity of average saccade;Peak acceleration of average saccade;Peak deceleration of average saccade;Direction of average saccade;Respondent count (mouse clicks);Respondent ratio (mouse clicks);Mouse click count
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Picture7;;50;22.46;Static AOI;NA;AOI 1;3796.85;picture7;3796.85;100;99.09;23857.29;07.1952;01.151;42;84;03.1974;02.1974;1;707.9;707.9;596.43;16.65;396.76;470.3;0.262;40;80;02.2048;01.2048;07.2;1;591.92;591.92;1253.17;1353.47;36.91;187.12;171.8;256.97;0.34;40;80;03.2008;10.7;838.65;838.65;27.02;01.2046;104.45;10243.36;-8385.5;168.34;50;100;1
;Picture8;;50;22.46;Static AOI;NA;AOI 1;5119.64;picture8;5119.64;100;99.13;4453.49;01.4;0.215;33;66;02.2003;01.2003;1;3264.24;3264.24;344.08;06.1954;346.1;368.08;0.182;32;64;01.1975;0.75;02.1997;1;3236.07;3236.07;3651.26;546.02;10.2042;209.92;186.01;246.33;0.34;27;54;01.1978;05.2026;2399.01;2399.01;19.79;0.96;78.98;7993.24;-4885.64;213.37;29;58;0.58
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M4;Picture1;;50;22.46;Static AOI;NA;AOI 1;2947.53;picture1;2947.53;100;98.99;4822.91;01.1952;0.23;36;72;01.1992;0.92;1;1141.45;1141.45;423.72;17.76;370.81;384.64;0.083;34;68;01.1965;0.65;03.2015;1;1212.46;1212.46;1721.56;628.16;26.23;223.5;213.59;258.26;0.34;33;66;01.1955;04.2021;1067.42;1067.42;26.43;0.75;67.45;6024.56;-6259.31;178.53;46;92;0.92
;Picture2;;50;22.46;Static AOI;NA;AOI 1;1641.88;picture2;1641.88;100;99.02;58934.97;18.58;02.1984;49;98;01.2031;0.31;1;250.15;250.15;1051.61;70.73;965.48;920.38;0.122;48;96;01.2012;0.12;04.2023;1;334.85;334.85;496.48;653.32;44.08;181.04;176.65;160.13;0.37;49;98;01.2022;10.2004;229.76;229.76;31.87;01.2004;85.59;19507.74;-5994.58;175.14;49;98;0.98
;Picture3;;50;22.46;Static AOI;NA;AOI 1;2731.35;picture3;2731.35;100;99.53;10362.75;03.2027;0.5;45;90;01.1978;0.78;1;786.02;786.02;796.53;32.38;702.2;681.42;0.156;43;86;01.1956;0.56;04.2021;1;849.13;849.13;1052.56;873.91;36.83;243.86;228.33;266.98;0.34;42;84;01.1967;07.1964;718.7;718.7;23.34;0.81;68.09;6011.39;-4419.42;173.36;50;100;1
;Picture4;;50;22.46;Static AOI;NA;AOI 1;9072.18;picture4;9072.18;100;97.77;9189.61;02.9;0.44;19;38;01.1968;0.68;1;1893.78;1893.78;354.95;03.2016;268.81;286.81;0.053;18;36;01.1967;0.67;02.1967;1;1839.29;1839.29;4603.49;396.5;03.1983;155.06;152.95;153.92;0.38;15;30;01.4;04.2027;1805.56;1805.56;21.77;0.83;75.05;7307.72;-4811.58;156.72;1;2;0.02
;Picture5;;50;22.46;Static AOI;NA;AOI 1;2375.14;picture5;2375.14;100;99.44;4949.83;01.1956;0.24;33;66;01.1973;0.73;1;906.23;906.23;372.85;16.43;483.83;509.48;0.152;32;64;01.2047;0.47;02.2031;1;1001.77;1001.77;1488.52;606.86;27.65;297.89;297.38;305.98;0.39;32;64;01.2038;04.1972;975.05;975.05;30;0.9;107.88;12181.36;-9338.73;200.28;39;78;0.78
;Picture6;;50;22.46;Static AOI;NA;AOI 1;2255.23;picture6;2255.23;100;99.28;40195.51;12.1967;01.1994;40;80;01.8;0.8;1;771.49;771.49;388.59;17.14;373.97;346.32;0.15;38;76;01.2037;0.37;02.1992;1;812.7;812.7;1115.51;571.15;26.07;196.9;173.6;211.5;0.35;34;68;01.2041;05.2012;771.57;771.57;30.95;01.1961;109.7;10440.59;-9746.8;170.76;5;10;0.1
;Picture7;;50;22.46;Static AOI;NA;AOI 1;3622.79;picture7;3622.79;100;99.25;48404.08;15.26;02.2033;49;98;3;2;1;188.3;188.3;1575.81;46.58;675.07;674.14;0.184;47;94;02.2032;01.2032;07.1991;1;237.17;237.17;310.95;1395.53;41.06;172.52;170.4;138.89;0.33;48;96;02.1973;16.38;262.73;262.73;25.58;1;82.11;7765.07;-6441.74;161.94;33;66;0.66
;Picture8;;50;22.46;Static AOI;NA;AOI 1;3330.34;picture8;3330.34;100;97.61;3924.19;01.2024;0.19;38;76;02.2032;01.2032;1;988.67;988.67;211.72;06.2035;224.22;267.3;0.184;37;74;01.1984;0.84;03.2003;1;1035.87;1035.87;1407.81;604.48;17.78;195.58;153.49;233.34;0.36;30;60;01.1987;04.1977;1235.55;1235.55;25.59;0.92;76.51;6810.97;-4834.52;177.1;41;82;0.82
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M5;Picture1;;50;22.46;Static AOI;NA;AOI 1;5285.44;picture1;5285.44;100;98.83;8967.57;02.1983;0.43;46;92;02.2039;01.2039;1;1793.17;1793.17;1065.43;27.52;472.82;751.16;0.13;46;92;02.2004;01.2004;05.2024;1;1827.36;1827.36;2066.8;1084.9;29.11;240.56;218.87;294.98;0.35;45;90;2;08.2042;1695.66;1695.66;23.69;0.77;68.03;6140.59;-4566.55;162.46;47;94;0.94
;Picture2;;50;22.46;Static AOI;NA;AOI 1;3556.27;picture2;3556.27;100;99.33;12120.29;03.1982;0.58;42;84;01.1974;0.74;1;1671.64;1671.64;809.2;26.45;640.66;741.55;0.048;42;84;01.1955;0.55;03.1976;1;1752.26;1752.26;2032.8;859.16;28.07;259.07;249.04;292.93;0.36;39;78;01.1951;6;1503.83;1503.83;27.73;0.81;71.52;6512.6;-4687.07;169.67;45;90;0.9
;Picture3;;50;22.46;Static AOI;NA;AOI 1;4576.22;picture3;4576.22;100;99.43;3346.18;01.2006;0.16;39;78;02.2049;01.2049;1;2516.88;2516.88;457.76;10.1953;344.28;424.89;0.128;38;76;01.1979;0.79;03.1961;1;2610.62;2610.62;2885.13;832.72;19.08;240.51;201.17;302.66;0.37;33;66;01.1982;05.1967;2685.51;2685.51;23.19;0.78;66.73;5803.2;-4204.72;186.52;49;98;0.98
;Picture4;;50;22.46;Static AOI;NA;AOI 1;10861.74;picture4;10861.74;100;98.61;7798.16;02.2046;0.38;31;62;02.2045;01.2045;1;4181.96;4181.96;334.26;02.1959;198.2;268.06;0.613;27;54;2;1;02.1993;1;5511.14;5511.14;6126.09;400.72;03.5;138.33;126.95;133.04;0.37;26;52;02.2042;06.1992;4295.4;4295.4;26.32;0.88;75.15;7008.16;-5404.55;167.29;16;32;0.32
;Picture5;;50;22.46;Static AOI;NA;AOI 1;4117.42;picture5;4117.42;100;99.26;5310.49;01.1967;0.26;35;70;01.1971;0.71;1;2793.11;2793.11;356.57;12.2042;434.52;524.53;0.171;32;64;01.2034;0.34;3;1;2108.56;2108.56;3266.53;658.69;22.5;257;250.86;290.55;0.39;32;64;01.2044;05.2031;3036.71;3036.71;27.29;0.89;97.87;10254.96;-8029.36;192.52;37;74;0.74
